N_STEPS,GRID SIZE,BLOCK SIZE,HOST TIME,CUDA TIME NON SHARED,CUDA TIME SHARED,CUDA MEM COPY TIME
100,32772,256,0.0552201,0.0033456,0.00331904,0.0891437
100,32772,512,0.0551915,0.00344608,0.00270272,0.0895152
100,32772,1024,0.0553799,0.00360096,0.0028784,0.0944314
100,524292,256,0.920801,0.0063312,0.00649504,1.00802
100,524292,512,0.91855,0.00591232,0.00648416,1.01286
100,524292,1024,0.91691,0.00635712,0.00729632,1.00748
1000,32772,256,0.0514901,0.00249837,0.0026031,0.0896026
1000,32772,512,0.0503249,0.00256717,0.00256054,0.0882086
1000,32772,1024,0.0499859,0.00262272,0.00306493,0.088095

